power,heartRate,cadence,time
164.0,116.0,72.0,1154.0
164.0,117.0,72.0,1155.0
164.0,118.0,71.0,1156.0
163.0,119.0,70.0,1157.0
164.0,117.0,70.0,1158.0
164.0,118.0,69.0,1159.0
166.0,119.0,70.0,1160.0
165.0,119.0,69.0,1161.0
165.0,120.0,69.0,1162.0
164.0,120.0,70.0,1163.0
165.0,120.0,70.0,1164.0
166.0,118.0,70.0,1165.0
167.0,119.0,71.0,1166.0
168.0,119.0,74.0,1167.0
167.0,119.0,77.0,1168.0
163.0,120.0,79.0,1169.0
163.0,118.0,80.0,1170.0
165.0,117.0,77.0,1171.0
164.0,116.0,76.0,1172.0
164.0,117.0,76.0,1173.0
166.0,115.0,75.0,1174.0
163.0,114.0,76.0,1175.0
163.0,114.0,76.0,1176.0
164.0,114.0,74.0,1177.0
165.0,114.0,74.0,1178.0
165.0,113.0,74.0,1179.0
166.0,113.0,74.0,1180.0
164.0,112.0,74.0,1181.0
165.0,112.0,74.0,1182.0
165.0,114.0,73.0,1183.0
165.0,114.0,73.0,1184.0
166.0,116.0,74.0,1185.0
169.0,118.0,75.0,1186.0
165.0,120.0,79.0,1187.0
164.0,122.0,80.0,1188.0
164.0,122.0,79.0,1189.0
164.0,121.0,79.0,1190.0
164.0,119.0,79.0,1191.0
164.0,117.0,77.0,1192.0
165.0,117.0,76.0,1193.0
165.0,116.0,76.0,1194.0
166.0,115.0,76.0,1195.0
165.0,115.0,78.0,1196.0
165.0,115.0,77.0,1197.0
164.0,114.0,78.0,1198.0
164.0,115.0,78.0,1199.0
164.0,115.0,78.0,1200.0
164.0,117.0,78.0,1201.0
163.0,118.0,76.0,1202.0
164.0,120.0,75.0,1203.0
165.0,121.0,74.0,1204.0
166.0,121.0,75.0,1205.0
165.0,122.0,75.0,1206.0
165.0,122.0,76.0,1207.0
165.0,122.0,76.0,1208.0
164.0,122.0,75.0,1209.0
164.0,122.0,75.0,1210.0
166.0,123.0,76.0,1211.0
164.0,124.0,75.0,1212.0
166.0,123.0,76.0,1213.0
165.0,122.0,77.0,1214.0
164.0,121.0,77.0,1215.0
165.0,120.0,78.0,1216.0
164.0,120.0,77.0,1217.0
165.0,120.0,77.0,1218.0
164.0,119.0,76.0,1219.0
165.0,118.0,76.0,1220.0
164.0,118.0,77.0,1221.0
164.0,118.0,75.0,1222.0
166.0,117.0,75.0,1223.0
166.0,115.0,75.0,1224.0
165.0,115.0,76.0,1225.0
164.0,116.0,77.0,1226.0
165.0,115.0,77.0,1227.0
165.0,115.0,75.0,1228.0
165.0,116.0,76.0,1229.0
165.0,115.0,76.0,1230.0
164.0,114.0,76.0,1231.0
166.0,112.0,77.0,1232.0
165.0,110.0,76.0,1233.0
164.0,108.0,76.0,1234.0
165.0,108.0,75.0,1235.0
165.0,109.0,75.0,1236.0
164.0,109.0,76.0,1237.0
165.0,109.0,74.0,1238.0
164.0,109.0,74.0,1239.0
164.0,108.0,73.0,1240.0
164.0,110.0,72.0,1241.0
165.0,112.0,72.0,1242.0
167.0,112.0,73.0,1243.0
164.0,110.0,75.0,1244.0
165.0,110.0,76.0,1245.0
167.0,111.0,76.0,1246.0
167.0,113.0,77.0,1247.0
165.0,115.0,79.0,1248.0
165.0,116.0,80.0,1249.0
165.0,115.0,80.0,1250.0
163.0,115.0,80.0,1251.0
165.0,116.0,80.0,1252.0
165.0,117.0,79.0,1253.0
163.0,117.0,79.0,1254.0
164.0,117.0,78.0,1255.0
165.0,117.0,78.0,1256.0
164.0,117.0,79.0,1257.0
164.0,118.0,78.0,1258.0
164.0,118.0,77.0,1259.0
165.0,117.0,77.0,1260.0
163.0,119.0,76.0,1261.0
163.0,120.0,76.0,1262.0
165.0,122.0,73.0,1263.0
165.0,123.0,72.0,1264.0
163.0,124.0,71.0,1265.0
161.0,126.0,71.0,1266.0
164.0,128.0,69.0,1267.0
162.0,130.0,68.0,1268.0
167.0,130.0,67.0,1269.0
170.0,130.0,67.0,1270.0
168.0,130.0,70.0,1271.0
164.0,130.0,75.0,1272.0
163.0,129.0,77.0,1273.0
164.0,128.0,76.0,1274.0
165.0,128.0,74.0,1275.0
166.0,128.0,74.0,1276.0
165.0,128.0,75.0,1277.0
164.0,128.0,76.0,1278.0
165.0,129.0,77.0,1279.0
164.0,130.0,77.0,1280.0
165.0,131.0,78.0,1281.0
